frame,timestamp,qw,qx,qy,qz,tx,ty,tz,confidence
201,6.7,0.35165165,0.81012475,-0.46702771,0.0438649,-0.00235,-0.103123,1.029984,0.8
202,6.733333,0.35035847,0.81106727,-0.46632603,0.04425914,-0.002354,-0.103044,1.028853,0.8
203,6.766667,0.34904869,0.81203602,-0.46558114,0.04468464,-0.002351,-0.102977,1.02802,0.8
204,6.8,0.34768962,0.81307944,-0.46472598,0.04520527,-0.002336,-0.102972,1.028155,0.8
205,6.833333,0.34623936,0.81414774,-0.46388199,0.04577404,-0.002325,-0.102968,1.028242,0.8
206,6.866667,0.34480332,0.81522046,-0.46300871,0.04635957,-0.002314,-0.10296,1.028282,0.8
207,6.9,0.34332957,0.81625242,-0.46222971,0.0469094,-0.002311,-0.102945,1.028099,0.8
208,6.933333,0.34181052,0.81724865,-0.46154282,0.04741775,-0.002311,-0.102943,1.028029,0.8
209,6.966667,0.34034026,0.81831179,-0.46068073,0.04803735,-0.0023,-0.102938,1.028092,0.8
210,7.0,0.33891481,0.81936315,-0.4597978,0.04864931,-0.002292,-0.102914,1.0279,0.8
211,7.033333,0.33754614,0.82047353,-0.45875338,0.04930645,-0.002276,-0.102887,1.027799,0.8
212,7.066667,0.33615292,0.82164831,-0.45758602,0.05010302,-0.002259,-0.102853,1.027669,0.8
213,7.1,0.33477913,0.82280053,-0.45643281,0.05090498,-0.002245,-0.10282,1.02749,0.8
214,7.133333,0.33355292,0.82391413,-0.45523647,0.05164996,-0.002229,-0.102791,1.027402,0.8
215,7.166667,0.33241568,0.8249834,-0.45405223,0.05233322,-0.002214,-0.102753,1.027167,0.8
216,7.2,0.33112508,0.82600938,-0.45305923,0.05293409,-0.00221,-0.102725,1.026832,0.8
217,7.233333,0.32982605,0.82693025,-0.45227057,0.05340853,-0.002214,-0.102693,1.026312,0.8
218,7.266667,0.32862523,0.82781277,-0.45147673,0.05385385,-0.002213,-0.10265,1.025759,0.8
219,7.3,0.32744216,0.82873259,-0.45058769,0.05435684,-0.002205,-0.102636,1.025702,0.8
220,7.333333,0.3262784,0.82963097,-0.4497194,0.05483906,-0.002199,-0.102614,1.025503,0.8
221,7.366667,0.3249934,0.83048858,-0.44901365,0.05526974,-0.002199,-0.102577,1.024978,0.8
222,7.4,0.32355713,0.83137525,-0.44835569,0.05570587,-0.0022,-0.102562,1.024699,0.8
223,7.433333,0.32218574,0.83229523,-0.44757233,0.05621396,-0.002194,-0.10254,1.024497,0.8
224,7.466667,0.32098487,0.83317647,-0.44672818,0.05674173,-0.002184,-0.102507,1.024267,0.8
225,7.5,0.31981476,0.83406651,-0.44583458,0.05729833,-0.002174,-0.102453,1.023804,0.8
226,7.533333,0.31878638,0.83497497,-0.44479504,0.05787414,-0.002156,-0.102389,1.023352,0.8
227,7.566667,0.31765225,0.83588739,-0.44381263,0.05847804,-0.002145,-0.102343,1.02299,0.8
228,7.6,0.31645611,0.83679799,-0.44285641,0.05918495,-0.002136,-0.102292,1.022554,0.8
229,7.633333,0.31537998,0.83763932,-0.44194092,0.05986713,-0.002127,-0.102239,1.022112,0.8
230,7.666667,0.31405445,0.83849304,-0.44117811,0.06050702,-0.002128,-0.102201,1.021628,0.8
231,7.7,0.31259307,0.83937051,-0.44044852,0.06121934,-0.002134,-0.102143,1.020899,0.8
232,7.733333,0.31130562,0.840277,-0.43952062,0.06200808,-0.002126,-0.102074,1.020285,0.8
233,7.766667,0.3100689,0.84121473,-0.43848303,0.06283059,-0.002112,-0.102007,1.019786,0.8
234,7.8,0.30879954,0.84211556,-0.43752455,0.06369066,-0.002102,-0.101937,1.019182,0.8
235,7.833333,0.30750944,0.84300226,-0.43658916,0.06461452,-0.002097,-0.101863,1.018504,0.8
236,7.866667,0.30616123,0.84392209,-0.43562472,0.06551264,-0.002092,-0.101782,1.017708,0.8
237,7.9,0.3049538,0.84482329,-0.43459443,0.06636618,-0.002078,-0.101704,1.017023,0.8
238,7.933333,0.30396217,0.84567818,-0.43349436,0.0672165,-0.002057,-0.101643,1.016654,0.8
239,7.966667,0.3027687,0.84657275,-0.43246622,0.06796076,-0.002043,-0.101598,1.016265,0.8
240,8.0,0.30129178,0.84747215,-0.4316349,0.0685969,-0.00204,-0.101559,1.015722,0.8
241,8.033333,0.3000547,0.84828903,-0.43079515,0.06919852,-0.002033,-0.101522,1.015341,0.8
242,8.066667,0.29916029,0.84904413,-0.42983067,0.06980534,-0.002019,-0.101453,1.014799,0.8
243,8.1,0.29859102,0.84980848,-0.42862897,0.07032896,-0.001996,-0.101401,1.014595,0.8
244,8.133333,0.29801126,0.85055201,-0.4274706,0.07084805,-0.001979,-0.101354,1.014346,0.8
245,8.166667,0.29767606,0.85123316,-0.42623942,0.07149139,-0.001959,-0.101285,1.01395,0.8
246,8.2,0.29768041,0.85190517,-0.42478192,0.07214071,-0.001931,-0.101253,1.014114,0.8
247,8.233333,0.29736996,0.85256844,-0.42357346,0.07268896,-0.001917,-0.101237,1.01413,0.8
248,8.266667,0.29675425,0.85325159,-0.42254712,0.0731613,-0.001911,-0.101185,1.013543,0.8
249,8.3,0.29629223,0.85401413,-0.42124841,0.07362445,-0.001898,-0.101144,1.013273,0.8
250,8.333333,0.29592503,0.85471641,-0.42000533,0.07405238,-0.001888,-0.101135,1.013343,0.8
251,8.366667,0.29518168,0.85539266,-0.41908116,0.07444565,-0.001889,-0.101128,1.013172,0.8
252,8.4,0.2947926,0.85613067,-0.41777635,0.07483661,-0.001875,-0.101108,1.013166,0.8
253,8.433333,0.2945748,0.85678374,-0.41650961,0.07527979,-0.001863,-0.101063,1.012907,0.8
254,8.466667,0.29395169,0.85742996,-0.41553742,0.07572933,-0.001862,-0.101016,1.01235,0.8
255,8.5,0.29333073,0.85812431,-0.41446594,0.07614279,-0.001852,-0.10097,1.011881,0.8
256,8.533333,0.29280169,0.85875552,-0.41345297,0.07656878,-0.001845,-0.100924,1.011441,0.8
257,8.566667,0.29235833,0.85933061,-0.41249353,0.07698439,-0.00184,-0.100894,1.01118,0.8
258,8.6,0.29221034,0.85993356,-0.41126802,0.07736929,-0.001825,-0.100867,1.011155,0.8
259,8.633333,0.29207354,0.86048407,-0.4101455,0.0777231,-0.001815,-0.100842,1.011063,0.8
260,8.666667,0.29180345,0.86099052,-0.40920242,0.07809901,-0.00181,-0.100817,1.010844,0.8
261,8.7,0.29143047,0.86156205,-0.40818194,0.0785278,-0.001802,-0.100768,1.010401,0.8
262,8.733333,0.29098134,0.86210589,-0.40726317,0.07899372,-0.001798,-0.100703,1.00974,0.8
263,8.766667,0.29064989,0.862595,-0.40638031,0.07942008,-0.001795,-0.10066,1.009347,0.8
264,8.8,0.29041574,0.86306865,-0.40545695,0.07984894,-0.001788,-0.10061,1.008946,0.8
265,8.833333,0.2901407,0.86356841,-0.40450799,0.08025755,-0.001779,-0.100547,1.008399,0.8
